Account Number,Reporting Period,Credit Limit,Outstanding Balance,Interest Rate,Minimum Payment Due,Payment Status,Delinquency Status,Credit Score,Utilization Ratio,Charge-Off Status
301806,2025-02,8282,1995,20.75,490,Partial Payment,Current,540,41.92,No
301807,2025-02,45286,32037,19.52,348,Paid in Full,Current,510,66.28,No
301808,2025-02,4012,10547,14.23,450,Partial Payment,Current,730,49.94,No
301809,2025-02,26020,43397,12.61,324,Missed Payment,Current,793,6.25,No
301810,2025-02,39507,1115,12.35,567,Paid in Full,Current,637,35.57,No
301811,2025-02,14995,29489,13.13,834,Partial Payment,Current,669,45.56,No
301812,2025-02,15659,1581,21.4,857,Paid in Full,Current,537,85.58,No
301813,2025-02,35322,9513,10.03,278,Paid in Full,Current,582,58.31,No
301814,2025-02,39325,43267,23.98,837,Paid in Full,Current,676,52.58,No
301815,2025-02,27321,20852,16.27,400,Paid in Full,Current,813,87.25,No
301816,2025-02,43221,23626,14.34,688,Paid in Full,Current,798,40.45,No
301817,2025-02,11413,14567,13.23,733,Paid in Full,Current,674,42.93,No
301818,2025-02,32664,37859,15.34,994,Partial Payment,Current,782,39.38,No
301819,2025-02,36585,10394,16.25,158,Paid in Full,60 Days,774,13.12,No
301820,2025-02,35629,5643,20.34,927,Paid in Full,Current,723,39.92,No
301821,2025-02,9858,31110,17.93,206,Paid in Full,Current,552,26.48,No
301822,2025-02,41707,26393,19.8,462,Paid in Full,Current,598,93.09,No
301823,2025-02,31229,13110,24.89,407,Paid in Full,Current,716,61.88,Yes
301824,2025-02,2194,23463,11.16,436,Paid in Full,Current,590,94.39,No
301825,2025-02,48055,23139,11.22,866,Paid in Full,Current,648,23.92,No
301826,2025-02,31828,19377,13.26,762,Paid in Full,Current,779,53.75,No
301827,2025-02,33692,6738,19.44,467,Paid in Full,Current,652,7.52,No
301828,2025-02,17740,5206,13.16,222,Partial Payment,Current,592,9.75,No
301829,2025-02,27322,17162,11.1,857,Paid in Full,Current,668,12.53,No
301830,2025-02,39412,23444,19.44,224,Paid in Full,Current,700,44.75,No
301831,2025-02,46974,8869,21.19,617,Paid in Full,Current,562,61.67,No
301832,2025-02,39004,16551,15.1,683,Paid in Full,Current,651,41.24,No
301833,2025-02,4659,35717,15.59,459,Paid in Full,Current,516,31.39,No
301834,2025-02,24779,44857,11.27,860,Paid in Full,Current,628,23.3,No
301835,2025-02,27604,28755,24.16,815,Missed Payment,Current,668,54.49,No
301836,2025-02,1772,43417,20.0,360,Paid in Full,Current,832,27.05,No
301837,2025-02,14667,40090,23.15,66,Paid in Full,Current,543,78.91,No
301838,2025-02,39373,26246,16.52,254,Paid in Full,30 Days,637,91.93,No
301839,2025-02,12502,22962,22.55,660,Paid in Full,Current,539,78.08,No
301840,2025-02,23579,11563,22.51,333,Paid in Full,Current,800,74.07,No
301841,2025-02,47066,37512,10.49,691,Paid in Full,Current,568,68.45,No
301842,2025-02,23271,25727,15.66,767,Paid in Full,Current,611,57.14,No
301843,2025-02,36480,44682,17.47,956,Partial Payment,Current,834,51.56,No
301844,2025-02,22956,21535,15.55,719,Paid in Full,Current,592,76.92,No
301845,2025-02,15013,40477,23.97,441,Partial Payment,Current,647,7.2,No
301846,2025-02,11368,27826,11.44,628,Partial Payment,Current,796,19.45,Yes
301847,2025-02,16639,32814,19.26,721,Paid in Full,30 Days,562,6.44,No
301848,2025-02,49673,6439,17.0,446,Partial Payment,Current,621,72.97,No
301849,2025-02,42178,8964,24.4,292,Paid in Full,60 Days,700,72.69,No
301850,2025-02,48248,20383,16.96,443,Paid in Full,30 Days,693,13.03,No
301851,2025-02,10587,3057,21.53,728,Paid in Full,Current,536,38.24,No
301852,2025-02,5873,42075,16.44,675,Partial Payment,Current,836,62.41,No
301853,2025-02,38359,22779,10.96,590,Paid in Full,Current,626,26.84,No
301854,2025-02,23126,8531,12.06,342,Partial Payment,Current,847,62.11,No
301855,2025-02,24938,25751,18.94,239,Partial Payment,Current,817,11.04,No
301856,2025-02,6455,40530,13.76,697,Paid in Full,Current,563,89.64,No
301857,2025-02,4461,41487,11.78,999,Paid in Full,Current,643,5.41,No
301858,2025-02,15964,26519,21.65,938,Partial Payment,Current,698,83.11,No
301859,2025-02,1710,20123,10.86,508,Partial Payment,Current,502,8.22,No
301860,2025-02,16540,6530,24.88,85,Paid in Full,Current,525,56.1,No
301861,2025-02,22447,15704,18.7,79,Partial Payment,Current,779,39.62,No
301862,2025-02,9769,28828,15.88,883,Paid in Full,Current,805,13.37,No
301863,2025-02,7446,3005,22.74,559,Paid in Full,Current,687,39.62,No
301864,2025-02,19687,44962,18.56,794,Paid in Full,Current,811,74.61,No
301865,2025-02,23022,24136,20.1,720,Paid in Full,Current,691,16.46,No
301866,2025-02,2847,44051,23.8,638,Paid in Full,Current,725,83.0,No
301867,2025-02,23268,2916,14.65,273,Partial Payment,Current,563,47.46,No
301868,2025-02,44687,44026,17.77,428,Partial Payment,Current,684,39.4,No
301869,2025-02,38554,29928,16.27,144,Paid in Full,Current,720,10.81,Yes
301870,2025-02,22925,21239,23.81,279,Paid in Full,Current,705,17.53,No
301871,2025-02,49216,20291,13.51,799,Paid in Full,30 Days,512,31.13,No
301872,2025-02,1761,34962,24.54,957,Partial Payment,Current,709,76.52,No
301873,2025-02,18336,24472,15.03,205,Missed Payment,Current,719,21.64,No
301874,2025-02,25234,24611,20.74,132,Paid in Full,90+ Days,628,78.38,No
301875,2025-02,9852,20020,10.92,922,Paid in Full,Current,819,74.61,No
301876,2025-02,1887,11658,16.21,134,Paid in Full,Current,649,72.55,No
301877,2025-02,11804,31862,24.72,809,Paid in Full,Current,553,24.07,No
301878,2025-02,7592,33630,18.69,90,Missed Payment,Current,667,55.3,No
301879,2025-02,38536,44303,21.62,825,Paid in Full,Current,779,18.62,No
301880,2025-02,6850,25559,11.61,686,Paid in Full,Current,685,64.49,No
301881,2025-02,25714,29518,22.74,950,Paid in Full,Current,554,56.57,No
301882,2025-02,32640,7336,13.1,291,Paid in Full,Current,820,86.12,No
301883,2025-02,29126,15476,10.93,269,Partial Payment,Current,790,11.36,No
301884,2025-02,17546,19420,21.44,982,Paid in Full,Current,537,62.67,No
301885,2025-02,13461,34343,16.84,387,Paid in Full,Current,700,86.09,No
301886,2025-02,22560,44192,15.17,228,Paid in Full,Current,661,21.91,No
301887,2025-02,26558,9419,14.94,52,Partial Payment,Current,542,60.14,No
301888,2025-02,43514,22676,16.57,505,Paid in Full,Current,630,23.73,No
301889,2025-02,39235,5936,12.16,671,Paid in Full,Current,560,72.11,No
301890,2025-02,24811,8158,20.45,948,Paid in Full,Current,732,22.42,No
301891,2025-02,32521,13358,13.0,724,Missed Payment,Current,670,62.38,No
301892,2025-02,44003,7237,11.22,470,Paid in Full,Current,505,82.66,No
301893,2025-02,25542,29495,23.48,851,Missed Payment,Current,504,59.9,No
301894,2025-02,5973,14349,17.09,807,Paid in Full,Current,761,5.23,No
301895,2025-02,9610,30686,16.49,240,Paid in Full,Current,612,19.7,No
301896,2025-02,12310,31556,18.31,878,Paid in Full,90+ Days,654,19.77,No
301897,2025-02,39894,11657,10.21,587,Paid in Full,Current,763,38.09,No
301898,2025-02,42708,35447,13.67,87,Missed Payment,Current,823,60.68,No
301899,2025-02,18424,40824,14.68,238,Paid in Full,30 Days,595,68.88,No
301900,2025-02,31087,41142,24.82,465,Paid in Full,Current,561,26.56,No
301901,2025-02,10680,34018,20.51,794,Paid in Full,Current,552,17.12,No
301902,2025-02,28108,24294,11.86,105,Paid in Full,30 Days,674,67.4,No
301903,2025-02,20036,38555,16.57,336,Missed Payment,Current,636,26.97,No
301904,2025-02,22222,35652,18.49,264,Paid in Full,Current,674,58.81,No
301905,2025-02,1176,6736,18.47,916,Paid in Full,Current,794,80.58,No
301906,2025-02,1065,41207,20.66,236,Paid in Full,Current,615,63.04,No
301907,2025-02,18107,44473,15.7,694,Partial Payment,Current,798,43.09,No
301908,2025-02,45848,14403,24.03,520,Missed Payment,Current,769,66.54,No
301909,2025-02,12296,10072,18.52,445,Missed Payment,Current,844,28.9,No
301910,2025-02,36082,25365,13.61,443,Paid in Full,Current,541,31.84,No
301911,2025-02,14555,10569,20.08,335,Partial Payment,90+ Days,534,49.26,No
301912,2025-02,36557,5812,21.69,999,Paid in Full,Current,738,74.46,No
301913,2025-02,27809,11641,12.31,956,Paid in Full,Current,715,56.9,No
301914,2025-02,12308,8636,17.22,447,Paid in Full,Current,581,78.25,No
301915,2025-02,29621,27647,21.7,599,Paid in Full,Current,642,16.74,No
301916,2025-02,44745,3671,24.73,944,Paid in Full,Current,658,57.83,No
301917,2025-02,21751,10342,12.47,667,Paid in Full,Current,737,27.11,No
301918,2025-02,13851,44349,15.78,563,Paid in Full,Current,566,31.1,No
301919,2025-02,37543,24227,21.34,681,Paid in Full,Current,727,25.44,No
301920,2025-02,40562,24082,19.7,212,Paid in Full,90+ Days,639,45.78,No
301921,2025-02,34817,10876,24.09,161,Paid in Full,Current,713,30.92,No
301922,2025-02,15425,8715,16.09,135,Paid in Full,Current,597,60.42,No
301923,2025-02,43694,3514,16.26,524,Paid in Full,Current,781,46.73,No
301924,2025-02,43920,15166,16.85,517,Missed Payment,Current,729,65.29,No
301925,2025-02,14537,6238,16.2,880,Paid in Full,Current,511,78.3,No
301926,2025-02,10671,27245,12.93,514,Paid in Full,Current,501,91.04,No
301927,2025-02,11147,44093,22.88,181,Missed Payment,Current,668,74.36,No
301928,2025-02,14080,37697,21.38,689,Paid in Full,Current,839,5.87,No
301929,2025-02,3279,33827,12.23,919,Missed Payment,Current,593,18.0,No
301930,2025-02,28144,36873,24.89,147,Paid in Full,Current,744,69.84,No
301931,2025-02,40004,35799,17.98,373,Partial Payment,Current,507,90.07,No
301932,2025-02,13993,33253,15.87,284,Paid in Full,Current,809,87.97,No
301933,2025-02,47256,19330,11.01,794,Partial Payment,Current,828,31.26,No
301934,2025-02,2351,29423,15.98,975,Paid in Full,Current,811,82.85,No
301935,2025-02,47466,27477,13.06,472,Partial Payment,Current,787,80.25,No
301936,2025-02,22572,19541,23.75,778,Paid in Full,Current,807,56.67,No
301937,2025-02,36644,20358,14.8,761,Paid in Full,Current,679,46.79,No
301938,2025-02,23709,8927,10.58,987,Partial Payment,Current,766,47.62,No
301939,2025-02,19449,44882,18.16,534,Partial Payment,Current,654,60.97,No
301940,2025-02,48051,16902,20.13,763,Paid in Full,Current,662,39.34,No
301941,2025-02,49349,7557,10.68,921,Paid in Full,Current,703,29.76,No
301942,2025-02,42753,35579,17.64,927,Partial Payment,Current,727,18.82,No
301943,2025-02,17358,5360,20.38,114,Paid in Full,Current,833,27.03,No
301944,2025-02,44195,17914,16.88,611,Missed Payment,Current,797,58.67,No
301945,2025-02,44921,37715,11.52,675,Paid in Full,Current,561,89.41,No
301946,2025-02,11818,9819,19.57,160,Partial Payment,Current,788,40.7,No
301947,2025-02,25329,539,13.69,79,Partial Payment,Current,810,85.1,No
301948,2025-02,2559,30313,20.55,900,Paid in Full,Current,550,76.98,No
301949,2025-02,36604,22126,14.2,870,Paid in Full,Current,556,82.96,No
301950,2025-02,37405,8407,16.64,328,Missed Payment,Current,590,53.31,No
301951,2025-02,19342,39417,12.39,772,Partial Payment,Current,553,92.15,No
301952,2025-02,29269,7622,20.63,435,Paid in Full,Current,690,84.52,No
301953,2025-02,35579,13936,18.58,234,Missed Payment,Current,773,74.47,No
301954,2025-02,33973,43837,19.68,503,Missed Payment,Current,517,40.73,No
301955,2025-02,17039,42752,24.8,538,Paid in Full,Current,807,32.69,No
301956,2025-02,20294,15485,24.09,221,Partial Payment,Current,569,7.64,No
301957,2025-02,37228,30160,15.99,504,Paid in Full,Current,534,93.76,No
301958,2025-02,42526,19888,12.61,394,Paid in Full,Current,650,51.23,No
301959,2025-02,46707,15030,11.48,372,Paid in Full,Current,848,8.76,No
301960,2025-02,3509,39552,19.83,125,Paid in Full,Current,526,36.76,No
301961,2025-02,21952,9928,16.23,319,Partial Payment,Current,611,33.62,No
301962,2025-02,33214,4285,21.77,895,Paid in Full,Current,705,66.27,No
301963,2025-02,33969,7894,16.25,476,Paid in Full,Current,738,45.88,No
301964,2025-02,27817,8997,12.36,88,Paid in Full,Current,737,54.76,No
301965,2025-02,22005,2761,11.87,312,Paid in Full,60 Days,826,42.83,No
301966,2025-02,41678,33281,23.44,492,Partial Payment,Current,593,60.31,No
301967,2025-02,24098,16100,20.92,452,Paid in Full,Current,625,91.83,No
301968,2025-02,9143,36833,11.5,87,Paid in Full,Current,568,43.32,No
301969,2025-02,6920,1946,11.04,177,Paid in Full,Current,796,8.16,Yes
301970,2025-02,9235,11859,24.71,626,Partial Payment,60 Days,613,38.15,Yes
301971,2025-02,16131,3074,14.94,536,Paid in Full,Current,842,92.4,No
301972,2025-02,39721,36952,18.29,269,Paid in Full,Current,663,38.71,No
301973,2025-02,9377,34608,19.94,289,Paid in Full,Current,590,11.97,No
301974,2025-02,6973,33992,12.44,103,Paid in Full,Current,667,41.78,No
301975,2025-02,7861,37991,18.23,155,Paid in Full,Current,808,46.33,No
301976,2025-02,9631,4319,13.3,916,Paid in Full,Current,670,24.77,No
301977,2025-02,37593,44703,14.33,546,Missed Payment,Current,740,45.75,No
301978,2025-02,28860,8998,20.82,406,Missed Payment,Current,580,77.37,No
301979,2025-02,18537,39691,11.56,657,Paid in Full,Current,796,65.32,No
301980,2025-02,15473,13744,14.43,109,Paid in Full,Current,839,40.06,No
301981,2025-02,36537,24396,23.25,319,Missed Payment,Current,817,57.05,No
301982,2025-02,15745,38746,20.78,67,Paid in Full,Current,540,40.3,No
301983,2025-02,37774,3356,24.34,899,Paid in Full,Current,707,90.75,No
301984,2025-02,49370,1644,13.63,180,Missed Payment,Current,637,69.98,No
301985,2025-02,7268,37644,24.68,930,Paid in Full,Current,588,66.66,No
301986,2025-02,18089,10871,10.01,290,Paid in Full,Current,601,64.15,Yes
301987,2025-02,25739,19829,18.44,107,Paid in Full,Current,775,26.29,No
301988,2025-02,5226,24842,18.98,360,Paid in Full,Current,772,64.05,No
301989,2025-02,38314,16876,19.71,182,Missed Payment,Current,544,9.36,No
301990,2025-02,48248,26647,17.29,208,Paid in Full,Current,789,34.76,No
301991,2025-02,27563,14476,19.37,347,Paid in Full,Current,669,91.7,No
301992,2025-02,12612,39437,12.11,164,Paid in Full,Current,593,34.07,No
301993,2025-02,25379,2960,15.23,267,Paid in Full,Current,628,39.63,No
301994,2025-02,25510,28052,12.29,203,Paid in Full,Current,577,20.87,No
301995,2025-02,15781,11121,21.34,887,Missed Payment,Current,764,64.36,No
301996,2025-02,29322,18505,20.02,277,Paid in Full,Current,781,54.38,No
301997,2025-02,34613,26479,13.33,956,Partial Payment,30 Days,652,10.02,No
301998,2025-02,26768,13906,15.94,537,Partial Payment,Current,611,79.73,No
301999,2025-02,8329,7205,13.2,420,Paid in Full,Current,698,91.42,No
302000,2025-02,1205,4194,17.62,570,Paid in Full,Current,679,24.31,No
302001,2025-02,41061,8188,18.81,839,Paid in Full,Current,501,10.75,No
302002,2025-02,33212,30213,11.22,475,Paid in Full,Current,546,32.02,No
302003,2025-02,24344,32111,11.34,765,Paid in Full,Current,819,10.72,No
302004,2025-02,29622,14151,22.62,769,Paid in Full,Current,804,24.31,No
302005,2025-02,37957,23898,24.3,293,Missed Payment,Current,611,57.64,No
302006,2025-02,9229,19993,14.52,341,Paid in Full,Current,554,68.81,No
302007,2025-02,4676,18075,20.59,657,Paid in Full,60 Days,808,44.23,No
302008,2025-02,42065,23347,15.51,400,Paid in Full,Current,677,34.62,No
302009,2025-02,29430,39369,14.34,273,Missed Payment,Current,557,67.29,No
302010,2025-02,12549,32223,14.8,416,Paid in Full,Current,782,33.22,No
302011,2025-02,18589,31571,23.97,151,Missed Payment,30 Days,610,50.46,No
302012,2025-02,28056,33504,18.23,743,Paid in Full,Current,790,71.92,No
302013,2025-02,14418,8824,18.04,645,Paid in Full,Current,717,16.18,No
302014,2025-02,34509,4910,22.6,526,Paid in Full,Current,822,20.65,No
302015,2025-02,16790,9313,24.57,418,Paid in Full,30 Days,796,28.37,No
302016,2025-02,43743,33007,14.81,285,Paid in Full,Current,547,38.23,No
302017,2025-02,8729,21484,19.44,551,Paid in Full,30 Days,724,56.1,No
302018,2025-02,6972,21715,16.19,719,Partial Payment,30 Days,558,59.62,No
302019,2025-02,47861,2445,22.69,556,Paid in Full,Current,567,75.76,No
302020,2025-02,37859,21034,17.45,510,Paid in Full,Current,686,14.52,No
302021,2025-02,37355,4061,19.21,101,Paid in Full,Current,525,17.45,No
302022,2025-02,13480,38689,22.9,254,Paid in Full,Current,500,43.75,No
302023,2025-02,26976,34611,23.94,443,Paid in Full,Current,663,70.04,Yes
302024,2025-02,29230,6841,17.26,898,Paid in Full,Current,634,21.78,No
302025,2025-02,37187,43354,14.2,254,Paid in Full,Current,645,72.95,No
302026,2025-02,31336,7024,10.98,431,Paid in Full,Current,512,75.56,Yes
302027,2025-02,13309,26379,22.05,201,Paid in Full,Current,613,25.13,No
302028,2025-02,45039,3838,15.73,131,Missed Payment,Current,758,16.83,No
302029,2025-02,20529,19754,11.28,455,Paid in Full,Current,798,64.67,No
302030,2025-02,16103,40544,10.27,701,Partial Payment,Current,776,70.79,No
302031,2025-02,29941,30812,18.09,689,Paid in Full,Current,764,18.47,Yes
302032,2025-02,18346,3191,18.67,777,Paid in Full,Current,566,58.19,No
302033,2025-02,42830,44149,23.47,747,Partial Payment,Current,682,46.2,No
302034,2025-02,9316,3562,19.23,138,Partial Payment,Current,527,87.44,No
302035,2025-02,35019,33718,24.39,853,Partial Payment,Current,597,94.57,Yes
302036,2025-02,44408,7494,13.18,908,Paid in Full,Current,656,5.78,No
302037,2025-02,38962,26453,16.33,409,Paid in Full,Current,540,58.83,No
302038,2025-02,27626,15427,14.33,303,Paid in Full,Current,620,32.63,No
302039,2025-02,2500,2969,23.61,232,Paid in Full,Current,586,59.8,Yes
302040,2025-02,43599,1745,11.64,66,Partial Payment,Current,721,64.74,No
302041,2025-02,33541,17462,19.62,341,Missed Payment,Current,680,31.21,No
302042,2025-02,34735,36172,13.91,585,Partial Payment,30 Days,742,85.9,No
302043,2025-02,13327,28255,23.97,564,Missed Payment,Current,703,89.3,No
302044,2025-02,18340,34091,22.49,748,Paid in Full,Current,752,69.38,No
302045,2025-02,19934,38885,12.03,461,Partial Payment,Current,554,7.84,No
302046,2025-02,49452,33077,17.05,687,Paid in Full,Current,595,9.77,Yes
302047,2025-02,10963,2706,16.96,94,Paid in Full,Current,776,65.1,No
302048,2025-02,18647,7135,16.12,121,Paid in Full,60 Days,721,38.49,No
302049,2025-02,37944,24134,15.35,366,Paid in Full,30 Days,613,81.37,No
302050,2025-02,49109,21985,11.97,879,Paid in Full,Current,693,40.61,No
302051,2025-02,38244,28608,23.9,381,Paid in Full,60 Days,781,68.26,No
302052,2025-02,40383,7998,11.0,266,Partial Payment,Current,634,79.24,No
302053,2025-02,28720,37429,24.98,187,Paid in Full,Current,670,31.4,No
302054,2025-02,28594,14810,24.69,77,Paid in Full,Current,837,31.51,No
302055,2025-02,47431,22547,11.72,377,Partial Payment,Current,830,70.71,No
302056,2025-02,37562,39563,20.19,127,Paid in Full,Current,674,86.31,No
302057,2025-02,15142,26642,23.66,978,Paid in Full,Current,623,23.97,No
302058,2025-02,30785,32678,18.15,999,Paid in Full,Current,585,46.18,No
302059,2025-02,5560,24017,17.54,219,Partial Payment,Current,604,92.92,No
302060,2025-02,29078,30908,17.68,133,Paid in Full,Current,537,57.58,No
302061,2025-02,34335,1859,23.94,239,Partial Payment,Current,671,59.61,No
302062,2025-02,23328,22421,23.67,575,Paid in Full,Current,513,72.82,No
302063,2025-02,9103,40500,18.84,485,Missed Payment,Current,607,56.42,No
302064,2025-02,20605,4216,24.04,785,Paid in Full,Current,621,50.72,No
302065,2025-02,49184,7925,14.95,519,Paid in Full,Current,525,68.05,No
302066,2025-02,18522,27036,14.04,606,Paid in Full,Current,771,85.27,No
302067,2025-02,13143,2236,19.9,797,Paid in Full,Current,685,77.21,No
302068,2025-02,1054,38129,22.69,631,Partial Payment,Current,587,52.91,No
302069,2025-02,47999,13719,24.51,385,Paid in Full,Current,549,42.19,No
302070,2025-02,24578,30729,17.65,768,Paid in Full,Current,558,10.27,No
302071,2025-02,23628,39913,18.35,533,Paid in Full,Current,656,12.17,Yes
302072,2025-02,35553,17030,10.4,252,Partial Payment,Current,551,21.24,No
302073,2025-02,14765,37268,23.12,304,Paid in Full,Current,585,37.16,No
302074,2025-02,40662,26370,17.38,510,Missed Payment,30 Days,524,58.15,No
302075,2025-02,26537,37684,18.0,952,Paid in Full,Current,516,30.46,No
302076,2025-02,13277,24280,24.16,481,Paid in Full,Current,749,24.12,No
